Longitude,Latitude
-6.74573,54.65049
-5.8296,54.53122
-5.92485,54.5975
-5.93645,54.60984
-6.00149,54.75501
-6.77489,54.50523
-7.30536,54.60052
-6.43717,54.4206
-6.26907,54.86417
-6.02615,54.51767
-6.65461,54.35344
-5.95145,54.58087
-6.64938,54.35671
-5.95642,54.5866
-5.87878,54.60463
-5.80617,54.72958
-5.93307,54.59109
-6.64385,54.06197
-6.36704,54.40307
-5.89614,54.67471
-5.9907,54.57592
-5.96037,54.63659
-7.63888,54.34481
-6.28006,54.86358
-7.32311,54.99759
-6.58245,54.12743
-5.92698,54.6554
-6.6782,55.13091
-6.51987,54.2954
-7.28741,54.19772
-5.8728,54.69571
-5.97527,54.6037
-5.9934,54.75023
-6.0094,54.74556
-6.78424,54.50231
-6.74589,54.65189
-6.60522,54.75594
-6.18722,54.72095
-5.9621,54.6873
-7.60818,54.35344
-6.63667,54.37788
-6.66441,54.69717
-6.05466,54.50343
-7.32857,55.00898
-6.09314,54.70948
-6.62179,54.05596
-7.31703,54.5923
-6.40198,55.13476
-6.64938,54.35671
-6.9359,55.04328
-6.08432,54.46127
-6.34656,54.18686
-6.32996,54.99864
-6.68318,55.11972
-5.72434,54.31709
-6.40493,54.35305
-6.08432,54.46127
-6.74589,54.65189
-6.34868,54.18481
-5.99913,54.57595
-6.67704,55.12812
-6.07463,54.50879
-5.67268,54.65996
-5.46391,54.44158
-5.82267,54.71254
-5.94765,54.59863
-7.29419,54.98648
-5.82252,54.85202
-7.3273,55.00379
-7.47651,54.78897
-6.83844,54.35251
-5.81445,54.71269
-7.66328,54.23433
-7.63888,54.34481
-5.8789,54.59999
-5.93463,54.59711
-5.92693,54.57431
-6.6572,54.49936
-5.95693,54.66995
-7.32237,55.00149
-6.25911,54.10744
-6.59881,54.69933
-6.03935,54.54193
-7.6246,54.34781
-6.22553,54.48109
-5.86083,54.57891
-5.93114,54.61445
-6.51912,54.2939
-6.27342,54.84836
-6.21396,54.59177
-6.65031,54.34774
-6.45469,54.42369
-5.95119,54.60907
-5.93793,54.59157
-5.93543,54.59512
-5.96896,54.58995
-6.66371,55.15172
-5.92625,54.59951
-6.23045,54.47746
-6.34943,54.88977
-5.9907,54.57592
-7.29215,54.98628
-5.93012,54.65284
